emiten_code,year,date,eps,per,pbv,bvps,ebitda,roa,roe,fcf,fcf_ps,gdp_forecast,political_stability,inflation_forecast,return
UNVR,2020,Q1,48.83,148.47,38.31,189.23,2688498000000.0,8.65,25.8,741787000000.0,19.44,-2.2,18.4,3.0,-13.690476190476192
UNVR,2019,Q4,246.82,170.16,60.67,692.25,2943905000000.0,9.12,35.65,2711183000000.0,355.33,5.1,17.5,3.5,-9.919571045576408
UNVR,2019,Q3,237.53,195.76,51.51,902.7,2761926000000.0,8.71,26.31,1457889000000.0,191.07,5.1,17.5,3.5,3.4961154273029966
UNVR,2019,Q2,255.4,176.19,67.65,665.17,2928113000000.0,8.93,38.4,1554848000000.0,203.78,5.1,17.5,3.5,-8.481462671406806
UNVR,2019,Q1,229.16,214.81,41.44,1187.73,2616307000000.0,7.93,19.29,1496304000000.0,196.11,5.1,17.5,3.5,8.42511013215859
UNVR,2018,Q4,236.69,191.81,45.71,993.2,2677321000000.0,9.25,23.83,1973311000000.0,258.63,5.3,15.6,3.5,-2.418054809242343
UNVR,2018,Q3,494.58,95.08,40.0,1175.64,5481044000000.0,18.87,42.07,2174924000000.0,285.05,5.3,15.6,3.5,1.3616557734204793
UNVR,2018,Q2,221.59,208.04,70.18,656.85,2422481000000.0,8.24,33.74,803357000000.0,105.29,5.3,15.6,3.5,-8.47457627118644
UNVR,2018,Q1,241.04,205.46,53.89,919.07,2747100000000.0,9.09,26.23,1898588000000.0,248.83,5.3,15.6,3.5,-10.286225402504472
UNVR,2017,Q4,232.66,240.26,82.44,678.03,0.0,9.39,34.31,1322034000000.0,173.27,5.1,17.1,4.0,13.617886178861788
UNVR,2017,Q3,210.41,232.76,58.17,841.92,0.0,8.53,24.99,2166077000000.0,283.89,5.1,17.1,4.0,-0.6060606060606061
UNVR,2017,Q2,217.97,223.88,75.89,643.0,0.0,8.62,33.9,1074990000000.0,140.89,5.1,17.1,4.0,14.055299539170507
UNVR,2017,Q1,256.99,168.59,49.6,873.54,0.0,10.55,29.42,887772000000.0,116.35,5.1,17.1,4.0,11.855670103092782
UNVR,2016,Q4,214.96,180.5,62.93,616.55,0.0,9.79,34.86,1607767000000.0,210.72,5.1,21.4,4.0,-12.906846240179574
UNVR,2016,Q3,190.35,234.04,53.59,831.3,0.0,8.67,22.9,997414000000.0,130.72,5.1,21.4,4.0,-1.2195121951219512
UNVR,2016,Q2,226.5,199.01,70.33,640.95,0.0,9.13,35.34,1238042000000.0,162.26,5.1,21.4,4.0,4.883720930232558
UNVR,2016,Q1,205.77,208.61,51.2,838.45,0.0,9.43,24.54,1053940000000.0,138.13,5.1,21.4,4.0,16.216216216216218
UNVR,2015,Q4,218.69,169.19,58.48,632.68,0.0,10.61,34.57,2200957000000.0,288.46,5.2,17.1,4.0,-2.631578947368421
UNVR,2015,Q3,164.16,231.48,49.88,761.78,0.0,7.84,21.55,686820000000.0,90.02,5.2,17.1,4.0,-4.761904761904762
